Serial no;Rank;Time;Name;Country;Date of Birth;Place;City;Date;Gender;Event
16500;261;00:31:11.590000;Wang Junxia;CHN;09.01.1973;1.0;Nanjing;05.08.1996;Women;10,000 m
16501;262;00:31:11.610000;Kayoko Fukushi;JPN;25.03.1982;2.0;Okayama;27.09.2003;Women;10,000 m
16502;263;00:31:11.720000;Lisa Ondieki;AUS;12.05.1960;1.0;Helsinki;30.06.1992;Women;10,000 m
16503;264;00:31:11.750000;Elana Meyer;RSA;10.10.1966;2.0;Barcelona;08.07.1992;Women;10,000 m
16504;265;00:31:12.300000;Joanne Pavey;GBR;20.09.1973;10.0;Beijing;15.08.2008;Women;10,000 m
16505;266;00:31:12.550000;Zhong Huandi;CHN;28.06.1967;2.0;Stuttgart;21.08.1993;Women;10,000 m
16506;267;00:31:12.570000;Yelena Samokhvalova;RUS;21.11.1980;2.0;Tula;14.06.2005;Women;10,000 m
16507;268;00:31:12.580000;Wang Mingxia;CHN;06.06.1971;8.0;Shanghai;19.10.1997;Women;10,000 m
16508;269;00:31:12.680000;Janet Bawcom;USA;22.08.1978;12.0;London;08.03.2012;Women;10,000 m
16509;270;00:31:12.800000;Lisa Uhl;USA;31.08.1987;13.0;London;08.03.2012;Women;10,000 m
16510;271;00:31:12.860000;Yasemin Can;TUR;11.12.1996;1.0;Amsterdam;07.06.2016;Women;10,000 m
16511;272;00:31:12.930000;Sara Moreira;POR;17.10.1985;1.0;Huelva;04.11.2015;Women;10,000 m
16512;273;00:31:13.060000;Meraf Bahta;SWE;24.06.1989;1.0;Palo Alto;05.05.2017;Women;10,000 m
16513;274;00:31:13.210000;Ren Xiujuan;CHN;14.09.1974;2.0;Nanjing;05.08.1996;Women;10,000 m
16514;275;00:31:13.290000;Vivian Cheruiyot;KEN;11.09.1983;1.0;Bruxelles;07.05.2015;Women;10,000 m
16515;276;00:31:13.420000;Fernanda Ribeiro;POR;23.06.1969;1.0;Athínai;04.12.2003;Women;10,000 m
16516;277;00:31:13.500000;Viktoriya Klimina;RUS;01.03.1976;4.0;Kazan;17.07.2008;Women;10,000 m
16517;278;00:31:13.580000;Inês Monteiro;POR;18.05.1980;1.0;Marseille;06.05.2010;Women;10,000 m
16518;279;00:31:13.670000;Teyiba Erkasso;ETH;30.10.1982;2.0;Utrecht;17.05.2007;Women;10,000 m
16519;280;00:31:13.750000;Adriana Fernández;MEX;04.04.1971;1.0;Palo Alto;05.02.2003;Women;10,000 m
16520;281;00:31:13.780000;Olga Bondarenko;RUS;02.06.1960;1.0;Kiev;24.06.1984;Women;10,000 m
16521;281;00:31:13.780000;Amy Yoder-Begley;USA;11.01.1978;6.0;Berlin;15.08.2009;Women;10,000 m
16522;283;00:31:13.790000;Shitaye Eshete;BRN;21.05.1990;6.0;Moskva;08.11.2013;Women;10,000 m
16523;284;00:31:13.960000;Mihaela Botezan;ROU;21.02.1976;4.0;München;08.06.2002;Women;10,000 m
16524;285;00:31:14.070000;Karoline Bjerkeli Grøvdal;NOR;14.06.1990;9.0;Rio de Janeiro;08.12.2016;Women;10,000 m
16525;286;00:31:14.080000;Evelyn Wambui;KEN;04.04.1986;1.0;Yamagata;26.09.2008;Women;10,000 m
16526;287;00:31:14.210000;Sabrina Mockenhaupt;GER;06.12.1980;11.0;Beijing;15.08.2008;Women;10,000 m
16527;288;00:31:14.270000;Alla Zhilyayeva;RUS;05.02.1969;3.0;Tula;14.06.2005;Women;10,000 m
16528;289;00:31:14.280000;Lornah Kiplagat;NED;01.05.1974;1.0;Utrecht;20.06.2003;Women;10,000 m
16529;290;00:31:14.310000;Elizabeth McColgan;GBR;24.05.1964;1.0;Tokyo;30.08.1991;Women;10,000 m
16530;291;00:31:14.510000;Julia Vaquero;ESP;18.09.1970;1.0;Barakaldo;04.05.1997;Women;10,000 m
16531;292;00:31:14.520000;Gotytom Gebreslase;ETH;15.01.1995;10.0;Hengelo;29.06.2016;Women;10,000 m
16532;293;00:31:14.700000;Elana Meyer;RSA;10.10.1966;8.0;Sydney;30.09.2000;Women;10,000 m
16533;294;00:31:14.800000;Benita Willis;AUS;06.05.1979;2.0;Helsinki;26.07.2006;Women;10,000 m
16534;295;00:31:14.830000;Meselech Melkamu;ETH;19.04.1985;1.0;Ostrava;31.05.2011;Women;10,000 m
16535;296;00:31:14.940000;Eloise Wellings;AUS;09.11.1982;10.0;Rio de Janeiro;08.12.2016;Women;10,000 m
16536;297;00:31:14.980000;Linet Masai;KEN;05.12.1989;7.0;Ostrava;06.12.2008;Women;10,000 m
16537;298;00:31:15;Galina Zakharova;RUS;07.09.1956;2.0;Kiev;24.06.1984;Women;10,000 m
16538;299;00:31:15.070000;Yoko Shibui;JPN;14.03.1979;1.0;Kawasaki;27.06.2008;Women;10,000 m
16539;300;00:31:15.340000;Tomoko Hatori;JPN;28.05.1981;3.0;Kobe;25.04.2004;Women;10,000 m
16540;300;00:31:15.340000;Yukiko Akaba;JPN;18.10.1979;2.0;Kawasaki;27.06.2008;Women;10,000 m
16541;302;00:31:15.380000;Sally Barsosio;KEN;21.03.1978;3.0;Stuttgart;21.08.1993;Women;10,000 m
16542;302;00:31:15.380000;Irene Cheptai;KEN;04.02.1992;1.0;Palo Alto;05.01.2016;Women;10,000 m
16543;304;00:31:15.660000;Ingrid Kristiansen;NOR;21.03.1956;1.0;Oslo;07.04.1987;Women;10,000 m
16544;305;00:31:15.790000;Jane Kiptoo;KEN;08.08.1982;8.0;Ostrava;06.12.2008;Women;10,000 m
16545;306;00:31:15.950000;Berhane Adere;ETH;21.07.1973;1.0;Marseille;30.05.2003;Women;10,000 m
16546;307;00:31:15.970000;Betsy Saina;KEN;30.06.1988;1.0;Palo Alto;29.04.2012;Women;10,000 m
16547;308;00:31:16.280000;Zhang Linli;CHN;06.03.1973;5.0;Beijing;09.08.1993;Women;10,000 m
16548;309;00:31:16.380000;Caroline Chepkoech;KEN;26.05.1994;2.0;Palo Alto;05.01.2016;Women;10,000 m
16549;310;00:31:16.390000;Yang Siju;CHN;19.04.1973;9.0;Shanghai;19.10.1997;Women;10,000 m
16550;311;00:31:16.420000;Maria Conceição Ferreira;POR;13.03.1962;2.0;Helsinki;30.06.1992;Women;10,000 m
16551;312;00:31:16.440000;Sara Moreira;POR;17.10.1985;14.0;London;08.03.2012;Women;10,000 m
16552;313;00:31:16.500000;Everline Kimwei;KEN;25.08.1987;1.0;Kobe;21.10.2006;Women;10,000 m
16553;314;00:31:16.650000;Priscah Cherono;KEN;27.06.1980;2.0;Ostrava;31.05.2011;Women;10,000 m
16554;314;00:31:16.650000;Kara Goucher;USA;09.07.1978;2.0;Eugene;23.06.2011;Women;10,000 m
16555;316;00:31:16.680000;Ayalew Wude;ETH;04.07.1987;7.0;Ostrava;27.06.2013;Women;10,000 m
16556;317;00:31:16.940000;Asmae Leghzaoui;MAR;30.08.1976;1.0;Tunis;09.12.2001;Women;10,000 m
16557;318;00:31:17.120000;Kara Goucher;USA;09.07.1978;3.0;Helsinki;26.07.2006;Women;10,000 m
16558;319;00:31:17.200000;Amy Cragg;USA;21.01.1984;2.0;Palo Alto;05.05.2017;Women;10,000 m
16559;320;00:31:17.300000;Zhang Yingning;CHN;04.01.1990;1.0;Wuhan;11.02.2007;Women;10,000 m
16560;321;00:31:17.310000;Jennifer Rhines;USA;01.07.1974;1.0;Palo Alto;29.04.2007;Women;10,000 m
16561;322;00:31:17.620000;Bai Xue;CHN;13.12.1988;1.0;Jinan;26.10.2009;Women;10,000 m
16562;323;00:31:17.660000;Tegla Loroupe;KEN;09.05.1973;3.0;Göteborg;08.09.1995;Women;10,000 m
16563;324;00:31:17.720000;Jelena Prokopcuka;LAT;21.09.1976;5.0;München;08.06.2002;Women;10,000 m
16564;325;00:31:17.800000;Beleynesh Oljira;ETH;26.06.1990;3.0;Ostrava;31.05.2011;Women;10,000 m
16565;326;00:31:17.860000;Deena Kastor;USA;14.02.1973;12.0;Saint-Denis;23.08.2003;Women;10,000 m
16566;327;00:31:17.970000;Alla Zhilyayeva;RUS;05.02.1969;13.0;Helsinki;08.06.2005;Women;10,000 m
16567;328;00:31:18.070000;Lisa Uhl;USA;31.08.1987;1.0;Palo Alto;26.03.2010;Women;10,000 m
16568;329;00:31:18.160000;Ayako Suzuki;JPN;17.12.1980;3.0;Palo Alto;05.01.2016;Women;10,000 m
16569;330;00:31:18.180000;Viorica Ghican;ROU;09.06.1965;1.0;Helsinki;27.06.1990;Women;10,000 m
16570;331;00:31:18.380000;Olga Bondarenko;RUS;02.06.1960;4.0;Roma;09.04.1987;Women;10,000 m
16571;332;00:31:18.720000;Sally Barsosio;KEN;21.03.1978;1.0;Palo Alto;30.04.2004;Women;10,000 m
16572;333;00:31:18.730000;Ayuko Suzuki;JPN;08.10.1991;1.0;Nagoya;24.06.2016;Women;10,000 m
16573;334;00:31:18.790000;Kayoko Fukushi;JPN;25.03.1982;3.0;Kawasaki;27.06.2008;Women;10,000 m
16574;335;00:31:18.850000;Philes Ongori;KEN;19.07.1986;2.0;Oita;30.09.2006;Women;10,000 m
16575;336;00:31:18.960000;Amy Rudolph;USA;18.09.1973;1.0;Palo Alto;05.01.2005;Women;10,000 m
16576;337;00:31:18.970000;Ejegayehu Dibaba;ETH;21.03.1982;1.0;Barakaldo;14.07.2007;Women;10,000 m
16577;338;00:31:19;Werknesh Kidane;ETH;21.11.1981;2.0;Stockholm;30.05.2009;Women;10,000 m
16578;339;00:31:19.030000;Ana Dulce Félix;POR;23.10.1982;2.0;Amsterdam;07.06.2016;Women;10,000 m
16579;340;00:31:19.110000;Catherina McKiernan;IRL;30.11.1969;1.0;Dublin;06.12.1994;Women;10,000 m
16580;341;00:31:19.150000;Jessica Augusto;POR;08.11.1981;3.0;Ostrava;27.05.2010;Women;10,000 m
16581;342;00:31:19.400000;Hiromi Suzuki;JPN;06.12.1968;1.0;Osaka;06.09.1996;Women;10,000 m
16582;343;00:31:19.540000;Marina Ivanova;RUS;19.01.1982;5.0;Kazan;17.07.2008;Women;10,000 m
16583;344;00:31:19.730000;Philes Ongori;KEN;19.07.1986;1.0;Kobe;27.04.2008;Women;10,000 m
16584;344;00:31:19.730000;Yoko Shibui;JPN;14.03.1979;2.0;Kobe;27.04.2008;Women;10,000 m
16585;346;00:31:19.740000;Mihaela Botezan;ROU;21.02.1976;1.0;Camaiore;04.06.2002;Women;10,000 m
16586;347;00:31:19.760000;Ulrike Bruns;GDR;17.11.1953;3.0;Stuttgart;30.08.1986;Women;10,000 m
16587;348;00:31:19.820000;Elizabeth McColgan;GBR;24.05.1964;5.0;Roma;09.04.1987;Women;10,000 m
16588;348;00:31:19.820000;Yelena Vyazova;UKR;18.04.1960;3.0;Seoul;30.09.1988;Women;10,000 m
16589;350;00:31:19.870000;Amy Cragg;USA;21.01.1984;2.0;Palo Alto;29.04.2012;Women;10,000 m
16590;351;00:31:19.890000;Lynn Jennings;USA;01.07.1960;3.0;Barcelona;08.07.1992;Women;10,000 m
16591;352;00:31:19.920000;Winfridah Kebaso;KEN;16.05.1985;3.0;Oita;30.09.2006;Women;10,000 m
16592;353;00:31:20.190000;Yuko Kawakami;JPN;01.08.1975;2.0;Osaka;06.09.1996;Women;10,000 m
16593;354;00:31:20.280000;Ingrid Kristiansen;NOR;21.03.1956;1.0;Hechtel;08.10.1991;Women;10,000 m
16594;355;00:31:20.380000;Tigist Kiros;ETH;08.06.1982;4.0;Ostrava;31.05.2011;Women;10,000 m
16595;356;00:31:20.460000;Masako Chiba;JPN;18.07.1976;3.0;Osaka;06.09.1996;Women;10,000 m
16596;357;00:31:20.530000;Tegla Loroupe;KEN;09.05.1973;1.0;Troisdorf;17.08.1997;Women;10,000 m
16597;358;00:31:20.580000;Lidiya Grigoryeva;RUS;21.01.1974;4.0;Tula;14.06.2005;Women;10,000 m
16598;359;00:31:20.620000;Kathrin Weßel;GER;14.08.1967;1.0;Jena;28.05.1992;Women;10,000 m
16599;359;00:31:20.620000;Masako Chiba;JPN;18.07.1976;5.0;Atlanta;08.02.1996;Women;10,000 m
16600;361;00:31:20.630000;Kim Smith;NZL;19.11.1981;2.0;Palo Alto;29.04.2007;Women;10,000 m
16601;362;00:31:20.660000;Aheza Kiros Abeye;ETH;26.03.1982;2.0;Barakaldo;14.07.2007;Women;10,000 m
16602;363;00:31:21;Kim Smith;NZL;19.11.1981;2.0;Palo Alto;05.01.2005;Women;10,000 m
16603;364;00:31:21.030000;Mizuki Noguchi;JPN;03.07.1978;4.0;Kobe;25.04.2004;Women;10,000 m
16604;365;00:31:21.080000;Zhong Huandi;CHN;28.06.1967;4.0;Barcelona;08.07.1992;Women;10,000 m
16605;366;00:31:21.200000;Tegla Loroupe;KEN;09.05.1973;1.0;Warstein;07.06.1993;Women;10,000 m
16606;366;00:31:21.200000;Katie McGregor;USA;02.09.1977;14.0;Helsinki;08.06.2005;Women;10,000 m
16607;368;00:31:21.220000;Aheza Kiros Abeye;ETH;26.03.1982;2.0;Birmingham;07.11.2009;Women;10,000 m
16608;369;00:31:21.250000;Xie Fang;CHN;26.12.1989;2.0;Wuhan;11.02.2007;Women;10,000 m
16609;370;00:31:21.270000;Lidiya Grigoryeva;RUS;21.01.1974;9.0;Sydney;30.09.2000;Women;10,000 m
16610;371;00:31:21.280000;Sabrina Mockenhaupt;GER;06.12.1980;1.0;Barakaldo;04.02.2005;Women;10,000 m
16611;372;00:31:21.360000;Uta Pippig;GER;07.09.1965;2.0;Jena;28.05.1992;Women;10,000 m
16612;373;00:31:21.420000;Kim Smith;NZL;19.11.1981;8.0;Berlin;15.08.2009;Women;10,000 m
16613;374;00:31:21.570000;Shitaye Eshete;BRN;21.05.1990;6.0;Daegu;27.08.2011;Women;10,000 m
16614;375;00:31:21.920000;Elva Dryer;USA;26.09.1971;3.0;Palo Alto;05.01.2005;Women;10,000 m
16615;375;00:31:21.920000;Yoko Shibui;JPN;14.03.1979;1.0;Kumagaya;17.05.2008;Women;10,000 m
16616;377;00:31:22.110000;Sally Chepyego;KEN;03.10.1985;7.0;Moskva;08.11.2013;Women;10,000 m
16617;378;00:31:22.180000;Ejegayehu Dibaba;ETH;21.03.1982;12.0;Beijing;15.08.2008;Women;10,000 m
16618;379;00:31:22.370000;Lucy Kabuu;KEN;24.03.1984;1.0;Kobe;24.04.2005;Women;10,000 m
16619;380;00:31:22.680000;Everline Kimwei;KEN;25.08.1987;4.0;Oita;30.09.2006;Women;10,000 m
16620;381;00:31:22.690000;Amy Begley;USA;11.01.1978;1.0;Eugene;25.06.2009;Women;10,000 m
16621;382;00:31:22.720000;Harumi Hiroyama;JPN;02.09.1968;1.0;Tokyo;10.05.1997;Women;10,000 m
16622;383;00:31:22.760000;Natalya Berkut;UKR;30.05.1975;1.0;Kiev;07.02.2001;Women;10,000 m
16623;384;00:31:22.800000;Nathalie De Vos;BEL;09.12.1982;3.0;Utrecht;17.05.2007;Women;10,000 m
16624;385;00:31:22.830000;Inga Abitova;RUS;06.03.1982;2.0;Barcelona;28.07.2010;Women;10,000 m
16625;386;00:31:22.920000;Hanami Sekine;JPN;26.02.1996;2.0;Nagoya;24.06.2016;Women;10,000 m
16626;387;00:31:23.070000;Chen Huirong;CHN;01.06.1988;3.0;Wuhan;11.02.2007;Women;10,000 m
16627;388;00:31:23.150000;Lyudmila Biktasheva;RUS;25.07.1974;1.0;Cheboksary;07.11.2002;Women;10,000 m
16628;389;00:31:23.220000;Tegla Loroupe;KEN;09.05.1973;6.0;Atlanta;08.02.1996;Women;10,000 m
16629;390;00:31:23.230000;Yuko Kawakami;JPN;01.08.1975;7.0;Atlanta;08.02.1996;Women;10,000 m
16630;391;00:31:23.240000;Wang Junxia;CHN;09.01.1973;1.0;Changchun;09.07.1995;Women;10,000 m
16631;392;00:31:23.270000;Yukiko Akaba;JPN;18.10.1979;1.0;Yokohama;23.12.2007;Women;10,000 m
16632;393;00:31:23.350000;Sabrina Mockenhaupt;GER;06.12.1980;1.0;Walnut;17.04.2004;Women;10,000 m
16633;394;00:31:23.430000;Shalane Flanagan;USA;07.08.1981;2.0;Eugene;25.06.2009;Women;10,000 m
16634;395;00:31:23.450000;Karoline Bjerkeli Grøvdal;NOR;14.06.1990;3.0;Amsterdam;07.06.2016;Women;10,000 m
16635;396;00:31:23.490000;Kayoko Fukushi;JPN;25.03.1982;9.0;Berlin;15.08.2009;Women;10,000 m
16636;397;00:31:23.510000;Sara Moreira;POR;17.10.1985;1.0;Bilbao;06.03.2012;Women;10,000 m
16637;398;00:31:23.550000;Terumi Asoshina;JPN;02.08.1982;2.0;Kobe;24.04.2005;Women;10,000 m
16638;399;00:31:23.600000;Ababel Yeshaneh;ETH;10.06.1990;8.0;Hengelo;17.06.2015;Women;10,000 m
16639;400;00:31:23.860000;Sabrina Mockenhaupt;GER;06.12.1980;2.0;Marseille;06.05.2010;Women;10,000 m
16640;401;00:31:23.920000;Liu Jingying;CHN;19.11.1971;6.0;Beijing;09.08.1993;Women;10,000 m
16641;402;00:31:23.960000;Elana Meyer;RSA;10.10.1966;1.0;Stellenbosch;02.11.1995;Women;10,000 m
16642;403;00:31:23.990000;Alice Timbilil;KEN;16.06.1983;1.0;Utrecht;18.06.2004;Women;10,000 m
16643;404;00:31:24;Kazue Ogoshi;JPN;02.03.1981;3.0;Okayama;27.09.2003;Women;10,000 m
16644;405;00:31:24.080000;Julia Vaquero;ESP;18.09.1970;1.0;Leiria;04.06.1996;Women;10,000 m
16645;406;00:31:24.090000;Ayalew Wude;ETH;04.07.1987;5.0;Ostrava;31.05.2011;Women;10,000 m
16646;407;00:31:24.120000;Silvia Sommaggio;ITA;20.11.1969;6.0;Heusden-Zolder;08.05.2000;Women;10,000 m
16647;408;00:31:24.160000;Jennifer Rhines;USA;01.07.1974;4.0;Helsinki;26.07.2006;Women;10,000 m
16648;409;00:31:24.180000;Alice Nawowuna;KEN;11.03.1994;1.0;Brazzaville;16.09.2015;Women;10,000 m
16649;410;00:31:24.200000;Lineth Chepkurui;KEN;23.02.1988;4.0;Palo Alto;05.01.2011;Women;10,000 m
16650;411;00:31:24.290000;Kim Smith;NZL;19.11.1981;15.0;Helsinki;08.06.2005;Women;10,000 m
16651;412;00:31:24.330000;Yumiko Hara;JPN;09.01.1982;3.0;Kobe;24.04.2005;Women;10,000 m
16652;413;00:31:24.360000;Fernanda Ribeiro;POR;23.06.1969;1.0;Barakaldo;07.09.2000;Women;10,000 m
16653;414;00:31:25.150000;Elvan Abeylegesse;TUR;11.09.1982;1.0;Ferrara;04.07.2007;Women;10,000 m
16654;415;00:31:25.180000;Olga Bondarenko;RUS;02.06.1960;1.0;Moskva;06.09.1985;Women;10,000 m
16655;416;00:31:25.330000;Dulce María Rodríguez;MEX;14.08.1972;4.0;Palo Alto;05.01.2005;Women;10,000 m
16656;417;00:31:25.450000;Sally Kipyego;KEN;19.12.1985;3.0;Palo Alto;05.04.2008;Women;10,000 m
16657;418;00:31:25.460000;Eyerusalem Kuma;ETH;04.11.1981;2.0;Utrecht;18.06.2004;Women;10,000 m
16658;419;00:31:25.570000;Shalane Flanagan;USA;07.08.1981;7.0;Daegu;27.08.2011;Women;10,000 m
16659;420;00:31:25.610000;Gotytom Gebreslase;ETH;15.01.1995;3.0;Palo Alto;05.05.2017;Women;10,000 m
16660;421;00:31:25.770000;Jessica Augusto;POR;08.11.1981;3.0;Barcelona;28.07.2010;Women;10,000 m
16661;422;00:31:25.940000;Katie McGregor;USA;02.09.1977;5.0;Palo Alto;05.01.2005;Women;10,000 m
16662;423;00:31:26.050000;Mestawat Tufa;ETH;14.09.1983;1.0;El Djezair;21.07.2007;Women;10,000 m
16663;424;00:31:26.080000;Inga Abitova;RUS;06.03.1982;1.0;Zhukovskiy;14.07.2007;Women;10,000 m
16664;425;00:31:26.100000;Joyce Chepkirui;KEN;20.08.1988;1.0;Melbourne;12.10.2011;Women;10,000 m
16665;426;00:31:26.110000;Elizabeth McColgan;GBR;24.05.1964;5.0;Barcelona;08.07.1992;Women;10,000 m
16666;427;00:31:26.340000;Susie Power;AUS;26.03.1975;1.0;Melbourne;12.06.2001;Women;10,000 m
16667;428;00:31:26.460000;Iulia Olteanu;ROU;26.01.1967;8.0;Atlanta;08.02.1996;Women;10,000 m
16668;429;00:31:26.480000;Kara Goucher;USA;09.07.1978;1.0;Portland;31.05.2008;Women;10,000 m
16669;430;00:31:26.550000;Sara Moreira;POR;17.10.1985;3.0;Marseille;06.05.2010;Women;10,000 m
16670;431;00:31:26.660000;Jennifer Rhines;USA;01.07.1974;16.0;Helsinki;08.06.2005;Women;10,000 m
16671;432;00:31:26.670000;Yuko Kawakami;JPN;01.08.1975;2.0;Tokyo;10.05.1997;Women;10,000 m
16672;433;00:31:26.790000;Kathrin Weßel;GER;14.08.1967;1.0;Potsdam;06.08.1988;Women;10,000 m
16673;434;00:31:26.840000;Harumi Hiroyama;JPN;02.09.1968;4.0;Sevilla;26.08.1999;Women;10,000 m
16674;435;00:31:26.880000;Elva Dryer;USA;26.09.1971;2.0;Palo Alto;05.02.2003;Women;10,000 m
16675;436;00:31:26.940000;Joanne Pavey;GBR;20.09.1973;1.0;Watford;30.06.2007;Women;10,000 m
16676;436;00:31:26.940000;Emily Infeld;USA;21.03.1990;11.0;Rio de Janeiro;08.12.2016;Women;10,000 m
16677;438;00:31:27;Wang Xiuting;CHN;16.02.1965;1.0;Guangzhou;29.11.1987;Women;10,000 m
16678;439;00:31:27.050000;Sabrina Mockenhaupt;GER;06.12.1980;4.0;Palo Alto;05.04.2008;Women;10,000 m
16679;440;00:31:27.070000;Julia Vaquero;ESP;18.09.1970;9.0;Atlanta;08.02.1996;Women;10,000 m
16680;441;00:31:27.120000;Molly Huddle;USA;31.08.1984;5.0;Palo Alto;05.04.2008;Women;10,000 m
16681;442;00:31:27.350000;Bao Guiying;CHN;20.01.1986;3.0;Nanjing;17.10.2005;Women;10,000 m
16682;443;00:31:27.440000;Yuko Kawakami;JPN;01.08.1975;10.0;Sydney;30.09.2000;Women;10,000 m
16683;444;00:31:27.570000;Chiemi Takahashi;JPN;16.02.1976;1.0;Sendai;16.05.1998;Women;10,000 m
16684;445;00:31:27.580000;Raisa Sadreydinova;RUS;09.05.1950;1.0;Odessa;09.07.1983;Women;10,000 m
16685;445;00:31:27.580000;Derartu Tulu;ETH;21.03.1972;1.0;Mito;05.07.1995;Women;10,000 m
16686;447;00:31:27.620000;Chiemi Takahashi;JPN;16.02.1976;5.0;Sevilla;26.08.1999;Women;10,000 m
16687;448;00:31:27.730000;Jackline Chepngeno;KEN;16.01.1993;2.0;Durban;25.06.2016;Women;10,000 m
16688;449;00:31:27.800000;Tiki Gelana;ETH;22.10.1987;9.0;Ostrava;06.12.2008;Women;10,000 m
16689;450;00:31:27.820000;Maria Guida;ITA;23.01.1966;4.0;Göteborg;08.09.1995;Women;10,000 m
16690;451;00:31:27.830000;Salina Kosgei;KEN;16.11.1976;1.0;Manchester;30.07.2002;Women;10,000 m
16691;452;00:31:27.860000;Jelena Prokopcuka;LAT;21.09.1976;1.0;Lisboa;04.01.2000;Women;10,000 m
16692;453;00:31:27.960000;Edith Masai;KEN;04.04.1967;1.0;Bambous;08.12.2006;Women;10,000 m
16693;454;00:31:27.990000;Hou Juhua;CHN;01.01.1967;2.0;Guangzhou;29.11.1987;Women;10,000 m
16694;455;00:31:28.060000;Wang Xiuting;CHN;16.02.1965;6.0;Barcelona;08.07.1992;Women;10,000 m
16695;456;00:31:28.070000;Sally Chepyego;KEN;03.10.1985;1.0;Kobe;19.04.2014;Women;10,000 m
16696;457;00:31:28.120000;Nyla Carroll;NZL;24.11.1965;1.0;Hechtel;19.07.1997;Women;10,000 m
16697;458;00:31:28.150000;Masako Chiba;JPN;18.07.1976;1.0;Kobe;21.04.1996;Women;10,000 m
16698;459;00:31:28.190000;Werknesh Kidane;ETH;21.11.1981;1.0;Birmingham;23.06.2012;Women;10,000 m
16699;460;00:31:28.210000;Sabrina Mockenhaupt;GER;06.12.1980;17.0;Helsinki;08.06.2005;Women;10,000 m
16700;461;00:31:28.260000;Hitomi Niiya;JPN;26.02.1988;1.0;Kobe;22.04.2012;Women;10,000 m
16701;462;00:31:28.280000;Joyciline Jepkosgei;KEN;08.12.1993;3.0;Durban;25.06.2016;Women;10,000 m
16702;463;00:31:28.410000;Benita Willis;AUS;06.05.1979;3.0;Palo Alto;05.02.2003;Women;10,000 m
16703;464;00:31:28.430000;Sarah Lahti;SWE;18.02.1995;12.0;Rio de Janeiro;08.12.2016;Women;10,000 m
16704;465;00:31:28.660000;Molly Huddle;USA;31.08.1984;5.0;Palo Alto;05.01.2011;Women;10,000 m
16705;466;00:31:28.690000;Diane Nukuri;BDI;01.12.1984;13.0;Rio de Janeiro;08.12.2016;Women;10,000 m
16706;467;00:31:28.710000;Mika Yoshikawa;JPN;16.09.1984;1.0;Osaka;06.08.2012;Women;10,000 m
16707;468;00:31:28.720000;Mihaela Botezan;ROU;21.02.1976;13.0;Saint-Denis;23.08.2003;Women;10,000 m
16708;469;00:31:28.780000;Marie Davenport;IRL;24.01.1975;2.0;Palo Alto;30.04.2004;Women;10,000 m
16709;470;00:31:28.830000;Wei Li;CHN;29.06.1972;7.0;Beijing;09.08.1993;Women;10,000 m
16710;471;00:31:28.860000;Hiromi Suzuki;JPN;06.12.1968;3.0;Tokyo;10.05.1997;Women;10,000 m
16711;472;00:31:28.880000;Bai Xue;CHN;13.12.1988;4.0;Nanjing;17.10.2005;Women;10,000 m
16712;473;00:31:28.920000;Francie Larrieu-Smith;USA;23.11.1952;1.0;Austin;04.04.1991;Women;10,000 m
16713;474;00:31:28.970000;Deena Kastor;USA;14.02.1973;1.0;Palo Alto;19.06.2003;Women;10,000 m
16714;475;00:31:29.030000;Kayoko Fukushi;JPN;25.03.1982;1.0;Kobe;25.04.2010;Women;10,000 m
16715;476;00:31:29.070000;Bezunesh Bekele;ETH;18.09.1983;3.0;Utrecht;18.06.2004;Women;10,000 m
16716;477;00:31:29.220000;Fionualla McCormack;IRL;24.09.1984;3.0;Palo Alto;29.04.2012;Women;10,000 m
16717;478;00:31:29.270000;Kathrin Weßel;GER;14.08.1967;4.0;Seoul;30.09.1988;Women;10,000 m
16718;479;00:31:29.330000;Sonia O'Sullivan;IRL;28.11.1969;1.0;Budapest;19.08.1998;Women;10,000 m
16719;480;00:31:29.380000;Kayoko Fukushi;JPN;25.03.1982;1.0;Ad-Dawhah;12.08.2006;Women;10,000 m
16720;481;00:31:29.410000;Aurora Cunha;POR;31.05.1959;2.0;Oslo;07.05.1986;Women;10,000 m
16721;482;00:31:29.430000;Isabella Ochichi;KEN;28.10.1979;2.0;Bambous;08.12.2006;Women;10,000 m
16722;483;00:31:29.550000;Irina Mikitenko;GER;23.08.1972;2.0;Barakaldo;04.07.2001;Women;10,000 m
16723;484;00:31:29.570000;Julia Bleasdale;GBR;09.09.1981;4.0;Palo Alto;29.04.2012;Women;10,000 m
16724;485;00:31:29.650000;Olivera Jevtic;SRB;24.07.1977;11.0;Sydney;30.09.2000;Women;10,000 m
16725;486;00:31:29.660000;Galina Bogomalova;RUS;15.10.1977;1.0;Tula;26.07.2000;Women;10,000 m
16726;486;00:31:29.660000;Lucy Kabuu;KEN;24.03.1984;1.0;Melbourne;21.03.2006;Women;10,000 m
16727;488;00:31:29.690000;Hilda Kibet;NED;27.03.1981;13.0;Beijing;15.08.2008;Women;10,000 m
16728;489;00:31:29.700000;Uta Pippig;GER;07.09.1965;1.0;Hengelo;20.06.1993;Women;10,000 m
16729;490;00:31:29.810000;Rose Chepchumba;KEN;14.03.1979;4.0;Utrecht;17.06.2005;Women;10,000 m
16730;491;00:31:29.910000;Tegla Loroupe;KEN;09.05.1973;4.0;Stuttgart;21.08.1993;Women;10,000 m
